"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC002331.1",0,2.29046594610129,1,0.13,0,"0","AC002331.1"
"CCL5",4.30515525770405e-23,0.52028304585337,0.958,0.729,1.13225583277616e-18,"0","CCL5"
"TMIGD2",9.29400415969615e-09,0.509196677747423,0.165,0.082,0.000244432309400009,"0","TMIGD2"
"JAML",2.28801031863518e-08,0.6156687479038,0.344,0.236,0.000601746713801052,"0","JAML"
"KLRC1",5.40734186570428e-73,1.46374364877837,0.436,0.107,1.42213091068023e-68,"1","KLRC1"
"MT-RNR2",8.7598735632164e-63,2.15807417910336,0.174,0.016,2.30384674712591e-58,"1","MT-RNR2"
"HOPX",2.14782401658704e-57,1.19080070425752,0.69,0.31,5.64877716362391e-53,"1","HOPX"
"PTPRCAP",4.69155958621345e-55,1.66207895039,0.15,0.014,1.23388017117414e-50,"1","PTPRCAP"
"MT-RNR1",2.25005788543032e-51,1.46246635295384,0.14,0.013,5.91765223868175e-47,"1","MT-RNR1"
"RNA18S5",1.30109879350407e-50,1.1466055612428,0.107,0.006,3.4218898269157e-46,"1","RNA18S5"
"TMEM66",7.52357534737951e-48,0.939347880502949,0.128,0.011,1.97870031636081e-43,"1","TMEM66"
"KLRC2",1.20235410008194e-46,1.30275367047776,0.429,0.151,3.1621912832155e-42,"1","KLRC2"
"GNLY",4.30928307552232e-40,1.05696656906401,0.746,0.438,1.13334144886237e-35,"1","GNLY"
"KLRD1",1.36934800824391e-36,0.895908922715854,0.659,0.342,3.60138526168147e-32,"1","KLRD1"
"GZMA",1.0608428511392e-30,1.00912688138716,0.944,0.685,2.79001669849611e-26,"1","GZMA"
"CCL51",4.3487481141153e-30,0.64584971806209,0.988,0.726,1.14372075401232e-25,"1","CCL5"
"CTSW",2.4999775746585e-24,0.677771486469983,0.654,0.391,6.57494102135184e-20,"1","CTSW"
"CD63",1.62467705422563e-17,0.525446407603136,0.785,0.591,4.27290065261341e-13,"1","CD63"
"PHGR1",2.16312879432849e-15,0.968546349857391,0.249,0.121,5.68902872908393e-11,"1","PHGR1"
"RPS4Y1",6.69019074028135e-14,0.505492736003594,0.501,0.308,1.75952016469399e-09,"1","RPS4Y1"
"TRGC2",9.79732613292485e-13,0.7975672830707,0.378,0.235,2.57669677295923e-08,"1","TRGC2"
"TYROBP",1.86510562587772e-10,0.662292831041432,0.116,0.044,4.90522779605839e-06,"1","TYROBP"
"LGALS1",1.97202823710764e-09,0.522341235137987,0.523,0.39,5.18643426359309e-05,"1","LGALS1"
"ID3",4.80939122842081e-06,0.595678240607547,0.165,0.096,0.126486989307467,"1","ID3"
"CD69",9.661574653889e-06,0.542749473274337,0.627,0.582,0.254099413397281,"1","CD69"
"CCL3",1.45918839035447e-05,0.561201677888771,0.477,0.382,0.383766546663225,"1","CCL3"
"IGFL2",6.07321702177348e-211,2.01307513883868,0.396,0.015,1.59725607672642e-206,"2","IGFL2"
"NMB",7.44293206769245e-211,2.56229774977577,0.574,0.058,1.95749113380311e-206,"2","NMB"
"TNFRSF4",5.35823735091288e-172,1.78025264840147,0.695,0.122,1.40921642329009e-167,"2","TNFRSF4"
"CXCL13",9.33143549845829e-127,1.97571110638511,0.995,0.676,2.45416753609453e-122,"2","CXCL13"
"IL7R",4.55426378835525e-122,1.41034809965854,0.629,0.131,1.19777137633743e-117,"2","IL7R"
"CCR7",5.30374994984064e-122,1.31116394642374,0.332,0.03,1.39488623680809e-117,"2","CCR7"
"EEF1A1",2.09677064125235e-114,0.924110702843405,1,0.997,5.51450678649368e-110,"2","EEF1A1"
"FKBP5",3.10275127116716e-109,1.42414248123605,0.736,0.219,8.16023584316964e-105,"2","FKBP5"
"RP5-1028K7.2",3.87519100133559e-107,1.0802796888358,0.353,0.042,1.01917523335126e-102,"2","RP5-1028K7.2"
"SELL",1.54036485004185e-105,1.16934049213258,0.373,0.049,4.05115955561006e-101,"2","SELL"
"CPM",2.05217856596815e-96,1.02856875234091,0.31,0.035,5.39722962849623e-92,"2","CPM"
