"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC002331.1",0,2.29046594610129,1,0.13,0,"0","AC002331.1"
"JAML",2.28801031863518e-08,0.6156687479038,0.344,0.236,0.000601746713801052,"0","JAML"
"CCL5",4.30515525770405e-23,0.52028304585337,0.958,0.729,1.13225583277616e-18,"0","CCL5"
"TMIGD2",9.29400415969615e-09,0.509196677747423,0.165,0.082,0.000244432309400009,"0","TMIGD2"
"MT-RNR2",8.7598735632164e-63,2.15807417910336,0.174,0.016,2.30384674712591e-58,"1","MT-RNR2"
"PTPRCAP",4.69155958621345e-55,1.66207895039,0.15,0.014,1.23388017117414e-50,"1","PTPRCAP"
"KLRC1",5.40734186570428e-73,1.46374364877837,0.436,0.107,1.42213091068023e-68,"1","KLRC1"
"MT-RNR1",2.25005788543032e-51,1.46246635295384,0.14,0.013,5.91765223868175e-47,"1","MT-RNR1"
"KLRC2",1.20235410008194e-46,1.30275367047776,0.429,0.151,3.1621912832155e-42,"1","KLRC2"
"HOPX",2.14782401658704e-57,1.19080070425752,0.69,0.31,5.64877716362391e-53,"1","HOPX"
"RNA18S5",1.30109879350407e-50,1.1466055612428,0.107,0.006,3.4218898269157e-46,"1","RNA18S5"
"GNLY",4.30928307552232e-40,1.05696656906401,0.746,0.438,1.13334144886237e-35,"1","GNLY"
"GZMA",1.0608428511392e-30,1.00912688138716,0.944,0.685,2.79001669849611e-26,"1","GZMA"
"PHGR1",2.16312879432849e-15,0.968546349857391,0.249,0.121,5.68902872908393e-11,"1","PHGR1"
"TMEM66",7.52357534737951e-48,0.939347880502949,0.128,0.011,1.97870031636081e-43,"1","TMEM66"
"KLRD1",1.36934800824391e-36,0.895908922715854,0.659,0.342,3.60138526168147e-32,"1","KLRD1"
"TRGC2",9.79732613292485e-13,0.7975672830707,0.378,0.235,2.57669677295923e-08,"1","TRGC2"
"CTSW",2.4999775746585e-24,0.677771486469983,0.654,0.391,6.57494102135184e-20,"1","CTSW"
"TYROBP",1.86510562587772e-10,0.662292831041432,0.116,0.044,4.90522779605839e-06,"1","TYROBP"
"CCL51",4.3487481141153e-30,0.64584971806209,0.988,0.726,1.14372075401232e-25,"1","CCL5"
"ID3",4.80939122842081e-06,0.595678240607547,0.165,0.096,0.126486989307467,"1","ID3"
"CCL3",1.45918839035447e-05,0.561201677888771,0.477,0.382,0.383766546663225,"1","CCL3"
"CD69",9.661574653889e-06,0.542749473274337,0.627,0.582,0.254099413397281,"1","CD69"
"CD63",1.62467705422563e-17,0.525446407603136,0.785,0.591,4.27290065261341e-13,"1","CD63"
"NMB",7.44293206769245e-211,2.56229774977577,0.574,0.058,1.95749113380311e-206,"2","NMB"
"IGFL2",6.07321702177348e-211,2.01307513883868,0.396,0.015,1.59725607672642e-206,"2","IGFL2"
"CXCL13",9.33143549845829e-127,1.97571110638511,0.995,0.676,2.45416753609453e-122,"2","CXCL13"
"TNFRSF4",5.35823735091288e-172,1.78025264840147,0.695,0.122,1.40921642329009e-167,"2","TNFRSF4"
"G0S2",8.51218032905055e-46,1.63297722881759,0.195,0.032,2.23870342654029e-41,"2","G0S2"
"PGM2L1",9.05152142611515e-96,1.49798482925495,0.429,0.078,2.38055013506828e-91,"2","PGM2L1"
"FKBP5",3.10275127116716e-109,1.42414248123605,0.736,0.219,8.16023584316964e-105,"2","FKBP5"
"IL7R",4.55426378835525e-122,1.41034809965854,0.629,0.131,1.19777137633743e-117,"2","IL7R"
"NFKBIA",4.77513079520771e-68,1.40462807928095,0.86,0.502,1.25585939913963e-63,"2","NFKBIA"
"CCR7",5.30374994984064e-122,1.31116394642374,0.332,0.03,1.39488623680809e-117,"2","CCR7"
"ICA1",6.50403786502403e-88,1.20928756596043,0.449,0.09,1.71056195850132e-83,"2","ICA1"
"IL6ST",2.15496331850194e-71,1.17471912176537,0.404,0.09,5.66755352766011e-67,"2","IL6ST"
"SELL",1.54036485004185e-105,1.16934049213258,0.373,0.049,4.05115955561006e-101,"2","SELL"
"SESN1",2.66992023941128e-87,1.0905568627972,0.315,0.042,7.02189022965168e-83,"2","SESN1"
"PASK",4.76444218143391e-80,1.08418784204896,0.34,0.055,1.25304829371712e-75,"2","PASK"
"RP5-1028K7.2",3.87519100133559e-107,1.0802796888358,0.353,0.042,1.01917523335126e-102,"2","RP5-1028K7.2"
"TSHZ2",1.07548608905213e-70,1.07905423972726,0.434,0.101,2.8285284142071e-66,"2","TSHZ2"
"NR3C1",6.12126647922731e-65,1.07228383576767,0.893,0.48,1.60989308403678e-60,"2","NR3C1"
"TXNIP",9.82812870635533e-26,1.06133431274668,0.571,0.353,2.58479784977145e-21,"2","TXNIP"
"CPM",2.05217856596815e-96,1.02856875234091,0.31,0.035,5.39722962849623e-92,"2","CPM"
"ZNF683",0,2.49973860619959,0.997,0.059,0,"3","ZNF683"
"GNLY1",1.01640113649001e-44,1.17202802271583,0.799,0.437,2.67313498896871e-40,"3","GNLY"
"KLRC11",4.22278627147529e-36,0.984179151445564,0.366,0.12,1.110592789398e-31,"3","KLRC1"
"LGALS11",3.53712849329827e-24,0.956885274147821,0.628,0.381,9.30264793737445e-20,"3","LGALS1"
"CCL31",4.1604430208401e-16,0.936185937592954,0.581,0.373,1.09419651448095e-11,"3","CCL3"
