"","pct","cumu","rank"
"1",11.0823242588839,11.0823242588839,1
"2",5.47913128978395,16.5614555486679,2
"3",4.12115513740968,20.6826106860776,3
"4",3.42219424135606,24.1048049274336,4
"5",2.79318043784206,26.8979853652757,5
"6",2.51347676395691,29.4114621292326,6
"7",2.39650351076682,31.8079656399994,7
"8",2.31320807097144,34.1211737109709,8
"9",2.11163864886732,36.2328123598382,9
"10",2.09184955841962,38.3246619182578,10
"11",1.92664830189397,40.2513102201518,11
"12",1.89209637423123,42.143406594383,12
"13",1.86783434852447,44.0112409429075,13
"14",1.84050451137041,45.8517454542779,14
"15",1.72461581957915,47.576361273857,15
"16",1.71052449528344,49.2868857691405,16
"17",1.69060696097648,50.9774927301169,17
"18",1.67012554558622,52.6476182757032,18
"19",1.64793359814166,54.2955518738448,19
"20",1.6368913221153,55.9324431959601,20
"21",1.62448822118717,57.5569314171473,21
"22",1.60912117616583,59.1660525933131,22
"23",1.59509994511463,60.7611525384278,23
"24",1.58786614762918,62.349018686057,24
"25",1.56955964330044,63.9185783293574,25
"26",1.55692211345623,65.4755004428136,26
"27",1.55258449379248,67.0280849366061,27
"28",1.53221062324584,68.5602955598519,28
"29",1.52428888745858,70.0845844473105,29
"30",1.51523368624647,71.599818133557,30
"31",1.50147776996466,73.1012959035216,31
"32",1.49015217214684,74.5914480756685,32
"33",1.46813152086396,76.0595795965324,33
"34",1.46507074284979,77.5246503393822,34
"35",1.45502215696492,78.9796724963471,35
"36",1.44822681459595,80.4278993109431,36
"37",1.446972746679,81.8748720576221,37
"38",1.44024927571761,83.3151213333397,38
"39",1.42890647982973,84.7440278131694,39
"40",1.41525876510815,86.1592865782776,40
"41",1.40771256998345,87.566999148261,41
"42",1.40476000011382,88.9717591483748,42
"43",1.39516038069341,90.3669195290683,43
"44",1.39106690449358,91.7579864335619,44
"45",1.38569552811087,93.1436819616727,45
"46",1.37949898900672,94.5231809506794,46
"47",1.3737913974751,95.8969723481545,47
"48",1.37214750602634,97.2691198541809,48
"49",1.36854851697382,98.6376683711547,49
"50",1.3623316288453,100,50
