"","pct","cumu","rank"
"1",10.0000487600856,10.0000487600856,1
"2",6.63278443523714,16.6328331953227,2
"3",4.40114683859108,21.0339800339138,3
"4",3.11275946858148,24.1467395024953,4
"5",3.04307929063057,27.1898187931259,5
"6",2.78437804078477,29.9741968339106,6
"7",2.42521797570314,32.3994148096138,7
"8",2.29985791000635,34.6992727196201,8
"9",2.23817507255673,36.9374477921768,9
"10",2.13261573301045,39.0700635251873,10
"11",2.05330478503515,41.1233683102224,11
"12",2.04904032181397,43.1724086320364,12
"13",1.9952123647662,45.1676209968026,13
"14",1.91792374189551,47.0855447386981,14
"15",1.9036338649204,48.9891786036185,15
"16",1.84705974366024,50.8362383472788,16
"17",1.82076423154647,52.6570025788252,17
"18",1.7912077126242,54.4482102914494,18
"19",1.73340812359749,56.1816184150469,19
"20",1.72129138546899,57.9029098005159,20
"21",1.67709051556022,59.5800003160762,21
"22",1.64284550435039,61.2228458204265,22
"23",1.59691021567288,62.8197560360994,23
"24",1.56383824727805,64.3835942833775,24
"25",1.52559798558903,65.9091922689665,25
"26",1.52263255239336,67.4318248213599,26
"27",1.50066931643262,68.9324941377925,27
"28",1.4999522380523,70.4324463758448,28
"29",1.47717197982491,71.9096183556697,29
"30",1.46576147422448,73.3753798298942,30
"31",1.45479150714232,74.8301713370365,31
"32",1.43108260884026,76.2612539458767,32
"33",1.42700491728309,77.6882588631598,33
"34",1.41824949146669,79.1065083546265,34
"35",1.39947562924485,80.5059839838714,35
"36",1.38758921356732,81.8935731974387,36
"37",1.36962745207211,83.2632006495108,37
"38",1.35706713966653,84.6202677891773,38
"39",1.34726076119055,85.9675285503679,39
"40",1.3248713039193,87.2923998542872,40
"41",1.31832332407543,88.6107231783626,41
"42",1.31115029904785,89.9218734774105,42
"43",1.2947349617549,91.2166084391654,43
"44",1.28342820316256,92.5000366423279,44
"45",1.2726896687041,93.772726311032,45
"46",1.26937104334802,95.04209735438,46
"47",1.25310451597957,96.2952018703596,47
"48",1.24126300939354,97.5364648797532,48
"49",1.23594037520547,98.7724052549586,49
"50",1.22759474504137,100,50
