"","pct","cumu","rank"
"1",13.6390457044001,13.6390457044001,1
"2",6.44522558767343,20.0842712920736,2
"3",3.75719834305897,23.8414696351325,3
"4",3.36256204898095,27.2040316841135,4
"5",3.07576763128365,30.2797993153971,5
"6",2.4543673071424,32.7341666225395,6
"7",2.39837112787198,35.1325377504115,7
"8",2.16517706230287,37.2977148127144,8
"9",2.10418297483393,39.4018977875483,9
"10",1.96473460313285,41.3666323906811,10
"11",1.91494371436041,43.2815761050416,11
"12",1.84149316048815,45.1230692655297,12
"13",1.76416552076668,46.8872347862964,13
"14",1.72151643352163,48.608751219818,14
"15",1.69067830212124,50.2994295219393,15
"16",1.67370591212934,51.9731354340686,16
"17",1.65073431341539,53.623869747484,17
"18",1.60526710421982,55.2291368517038,18
"19",1.58282034639505,56.8119571980989,19
"20",1.55956144053862,58.3715186386375,20
"21",1.55459126130681,59.9261098999443,21
"22",1.53025160276184,61.4563615027061,22
"23",1.51119693418184,62.967558436888,23
"24",1.47657663195428,64.4441350688422,24
"25",1.46566001328111,65.9097950821234,25
"26",1.46258368244503,67.3723787645684,26
"27",1.45711864773137,68.8294974122998,27
"28",1.44170839281287,70.2712058051126,28
"29",1.42969490812458,71.7009007132372,29
"30",1.42603573570759,73.1269364489448,30
"31",1.4143941232086,74.5413305721534,31
"32",1.40027232008293,75.9416028922363,32
"33",1.39492152545985,77.3365244176962,33
"34",1.39241027665406,78.7289346943502,34
"35",1.3823716188741,80.1113063132243,35
"36",1.37239927143313,81.4837055846575,36
"37",1.3670999694356,82.8508055540931,37
"38",1.35640217465351,84.2072077287466,38
"39",1.35103594534612,85.5582436740927,39
"40",1.34067641347864,86.8989200875713,40
"41",1.33788324391891,88.2368033314903,41
"42",1.32894581184013,89.5657491433304,42
"43",1.32325796412865,90.889007107459,43
"44",1.31722029327232,92.2062274007314,44
"45",1.31306575079713,93.5192931515285,45
"46",1.30580449680781,94.8250976483363,46
"47",1.29967217155066,96.124769819887,47
"48",1.29558206934307,97.42035188923,48
"49",1.29216244734567,98.7125143365757,49
"50",1.28748566342431,100,50
