"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS7",1.47402407497513e-173,0.562086638949499,0.998,0.898,3.8766833171846e-169,"1","RPS7"
"MZT2A",1.49516445816763e-171,0.572761131797271,0.908,0.485,3.93228252498087e-167,"1","MZT2A"
"FOSB",2.73992243249964e-169,0.531878461879079,0.868,0.437,7.20599599747406e-165,"1","FOSB"
"RANBP1",4.06284277033022e-168,0.598523917305495,0.941,0.553,1.06852764859685e-163,"1","RANBP1"
"MLXIP",2.1419550690062e-167,0.544839671621792,0.8,0.391,5.63334183148632e-163,"1","MLXIP"
"LDHB",7.81562617659068e-165,0.573835892930857,0.922,0.486,2.05550968444335e-160,"1","LDHB"
"NENF",7.34092131610158e-162,0.502693719156206,0.844,0.429,1.93066230613472e-157,"1","NENF"
"RPS12",9.64809531470281e-162,0.557256682872715,1,0.932,2.53744906776684e-157,"1","RPS12"
"RPL14",2.23759070430388e-161,0.541802401798545,1,0.904,5.8848635523192e-157,"1","RPL14"
"ATP5G21",2.65173134330049e-160,0.563316890758611,0.994,0.821,6.97405343288029e-156,"1","ATP5G2"
"HMGB2",3.19708696201032e-159,0.503258154054718,0.824,0.412,8.40833871008713e-155,"1","HMGB2"
"NDUFB11",7.34206352615413e-158,0.601702161624171,0.986,0.737,1.93096270737854e-153,"1","NDUFB11"
"RPS16",7.48253468525605e-155,0.52793136345661,0.999,0.894,1.96790662222234e-150,"1","RPS16"
"MT-CYB1",9.31052208387874e-153,0.565747326759204,0.998,0.936,2.44866730806011e-148,"1","MT-CYB"
"GAS5",4.76252252738833e-152,0.653433558313939,0.933,0.541,1.25254342470313e-147,"1","GAS5"
"GSTP1",3.92216987458732e-148,0.528652180049627,0.995,0.831,1.03153067701646e-143,"1","GSTP1"
"RPSAP58",5.29247192612076e-147,0.534458683575289,0.872,0.458,1.39192011656976e-142,"1","RPSAP58"
"C17orf76-AS1",1.29432280789104e-143,0.65434154751887,0.963,0.674,3.40406898475342e-139,"1","C17orf76-AS1"
"TIMM13",1.39603651977223e-136,0.567984269208443,0.967,0.661,3.67157604700096e-132,"1","TIMM13"
"RPS21",6.89318588334521e-136,0.511685884927245,0.995,0.803,1.81290788731979e-131,"1","RPS21"
"MT-CO2",1.86532775947231e-132,0.618803561409218,0.998,0.96,4.90581200741218e-128,"1","MT-CO2"
"RNA18S5",7.41184774515116e-131,0.660708963576804,0.959,0.718,1.94931595697476e-126,"1","RNA18S5"
"MLEC1",1.41603237921828e-129,0.509498194403367,0.928,0.535,3.72416515734406e-125,"1","MLEC"
"MZT2B",2.11869607669334e-123,0.530760392970299,0.959,0.623,5.57217068170349e-119,"1","MZT2B"
"MIF",1.2383745514844e-122,0.538710059955969,0.958,0.636,3.25692507040398e-118,"1","MIF"
"H2AFZ",1.63282143858821e-122,0.537852686284257,0.949,0.664,4.294320383487e-118,"1","H2AFZ"
"RPSA",1.03482771014875e-121,0.517459123685081,0.994,0.788,2.72159687769122e-117,"1","RPSA"
"STRA13",9.06714093809821e-118,0.504999036807815,0.924,0.594,2.38465806671983e-113,"1","STRA13"
"MT-ATP6",4.01480402140773e-116,0.553646681721033,0.998,0.887,1.05589345763023e-111,"1","MT-ATP6"
"EEF1A1",0,0.898829621844904,1,0.966,0,"2","EEF1A1"
"RPS3A",5.91252440958636e-275,0.942050086751363,0.994,0.922,1.55499391972121e-270,"2","RPS3A"
"RPL7",1.24540929938849e-252,0.933840967584678,0.992,0.921,3.27542645739174e-248,"2","RPL7"
"RPL21",8.71225318174661e-252,0.868211015350293,0.996,0.942,2.29132258679936e-247,"2","RPL21"
"RPL33",2.08861586863887e-243,0.816629645986628,0.998,0.946,5.49305973452023e-239,"2","RPL3"
"RPL6",4.03053649485525e-241,0.886499110557497,0.984,0.888,1.06003109814693e-236,"2","RPL6"
