"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGHA11",1.83798583247367e-237,1.17478606910302,0.837,0.673,4.83390273940575e-233,"4","IGHA1"
"TSHZ21",8.53609803453544e-231,0.629355636753425,0.257,0.073,2.24499378308282e-226,"4","TSHZ2"
"IGHM1",1.58288751400939e-206,0.676505880631211,0.339,0.126,4.16299416184471e-202,"4","IGHM"
"UQCRB",1.44333836883443e-200,0.546184069775137,0.922,0.698,3.79597991003455e-196,"4","UQCRB"
"C6orf48",2.21116706655762e-199,0.671002648852464,0.628,0.35,5.81536938504654e-195,"4","C6orf48"
"RPS4Y1",2.79364544858769e-198,0.949920245219583,0.53,0.289,7.34728752978562e-194,"4","RPS4Y1"
"AIF1",5.06336426481273e-194,0.530983810161615,0.176,0.042,1.33166480164575e-189,"4","AIF1"
"PLAC8",2.80646258232955e-189,0.615269434741195,0.372,0.149,7.38099659152672e-185,"4","PLAC8"
"SNHG8",1.40190475087744e-187,0.652817229465505,0.591,0.324,3.68700949480766e-183,"4","SNHG8"
"C1orf162",3.59364573992675e-187,0.550153126829689,0.24,0.074,9.45128829600736e-183,"4","C1orf162"
"RPL36A",1.60109112864416e-185,0.599515593306769,0.921,0.768,4.21086966833413e-181,"4","RPL36A"
"LEF1",3.70885692598902e-184,0.557848498474875,0.242,0.076,9.75429371535113e-180,"4","LEF1"
"IGLC31",3.55837168295734e-181,0.557620442994652,0.55,0.291,9.3585175261778e-177,"4","IGLC3"
"COX7C",2.41703809762576e-180,0.522281094331698,0.94,0.777,6.35681019675574e-176,"4","COX7C"
"HLA-DRA1",3.80807521052818e-111,0.571786659045454,0.389,0.21,1.00152378036891e-106,"4","HLA-DRA"
"CD55",2.89767445298326e-78,0.551055048412816,0.327,0.184,7.62088381134597e-74,"4","CD55"
"ANXA1",0,2.15519550621291,0.933,0.502,0,"5","ANXA1"
"LMNA",0,1.96090098112542,0.593,0.277,0,"5","LMNA"
"CCL52",0,1.6896517646372,0.69,0.285,0,"5","CCL5"
"RGCC",0,1.65991620273669,0.732,0.478,0,"5","RGCC"
"FOSB",0,1.53166437127077,0.743,0.403,0,"5","FOSB"
"FOS",0,1.44694766260531,0.921,0.688,0,"5","FOS"
"MYADM",0,1.26743882761959,0.528,0.239,0,"5","MYADM"
"ZFP36",8.94821360036651e-305,1.07672240109829,0.857,0.638,2.35338017689639e-300,"5","ZFP36"
"JUN",2.54968257274548e-237,1.33975151980665,0.791,0.63,6.7056651663206e-233,"5","JUN"
"H3F3B",2.72119494552683e-236,0.709375562702454,0.978,0.943,7.15674270673555e-232,"5","H3F3B"
"TSC22D3",7.08357247578943e-231,0.851264769122313,0.917,0.811,1.86297956113262e-226,"5","TSC22D3"
"KLF6",7.26770414698647e-202,0.922721756424631,0.853,0.703,1.91140619065744e-197,"5","KLF6"
"MCL1",1.9982924563466e-164,0.82246516450227,0.708,0.531,5.25550916019156e-160,"5","MCL1"
"VIM1",2.85500538319142e-160,0.843106092353006,0.828,0.717,7.50866415779343e-156,"5","VIM"
"NEU1",8.27569447743711e-156,0.908485064937326,0.266,0.103,2.17650764756596e-151,"5","NEU1"
"TUBA1A",1.71642169482208e-149,1.00120037658537,0.533,0.337,4.51418905738206e-145,"5","TUBA1A"
"DNAJA1",1.83599655757133e-129,0.908785135707411,0.584,0.411,4.82867094641259e-125,"5","DNAJA1"
"GADD45B",6.41029023264133e-126,1.04360075301667,0.395,0.219,1.68590633118467e-121,"5","GADD45B"
"PPP1R15A",9.11253364939691e-126,0.804935938683646,0.615,0.45,2.39659634979139e-121,"5","PPP1R15A"
"TNFAIP3",3.49995501296538e-125,0.768531047120172,0.69,0.542,9.20488168409895e-121,"5","TNFAIP3"
"YPEL5",1.99562444910584e-120,0.763245408375058,0.68,0.545,5.24849230114837e-116,"5","YPEL5"
"ID22",1.43337135805714e-118,0.733806567609468,0.645,0.458,3.76976667169027e-114,"5","ID2"
"CD69",3.38216769378127e-115,1.22975602106373,0.752,0.635,8.89510103464475e-111,"5","CD69"
"JCHAIN1",6.63459539247837e-113,0.806577962609136,0.351,0.186,1.74489858822181e-108,"5","JCHAIN"
"EGR1",3.27977040233e-112,0.986071378499287,0.184,0.068,8.62579615812789e-108,"5","EGR1"
"PTGER4",2.56964849284456e-111,0.762094013675854,0.456,0.276,6.75817553618119e-107,"5","PTGER4"
"UBB",2.95502522033087e-107,0.514963397190483,0.872,0.804,7.77171632947018e-103,"5","UBB"
"HSPA8",1.94860836239246e-106,0.624421056802831,0.844,0.777,5.12483999309216e-102,"5","HSPA8"
"SERTAD1",1.44177124134198e-105,0.83269389471879,0.311,0.16,3.7918583647294e-101,"5","SERTAD1"
"DUSP1",1.73379895649228e-104,0.823838746011995,0.824,0.722,4.55989125557471e-100,"5","DUSP1"
"ZFP36L2",6.67994239411524e-103,0.597417517941348,0.84,0.746,1.75682484965231e-98,"5","ZFP36L2"
"RGS21",7.80565644495054e-103,0.925924805749765,0.452,0.281,2.05288764502199e-98,"5","RGS2"
"TUBB4B",8.22974552020523e-93,0.817146944854761,0.407,0.26,2.16442307181398e-88,"5","TUBB4B"
"NR4A2",7.24086232160662e-92,0.805223371649801,0.451,0.293,1.90434679058254e-87,"5","NR4A2"
"ADGRE5",1.14449452318436e-77,0.649719158501344,0.285,0.157,3.01002059597488e-73,"5","ADGRE5"
"NR4A1",9.90396450551187e-77,0.78131179928664,0.186,0.084,2.60474266494962e-72,"5","NR4A1"
"IER2",2.11910133708647e-73,0.849701597822421,0.51,0.382,5.57323651653742e-69,"5","IER2"
"CTSW",1.62555186684957e-72,0.554360018587103,0.185,0.082,4.27520140981436e-68,"5","CTSW"
"SRSF7",2.97330598559187e-72,0.616304682413233,0.655,0.56,7.81979474210662e-68,"5","SRSF7"
"GPR183",3.21398119619561e-72,0.618520706501104,0.62,0.501,8.45277054599446e-68,"5","GPR183"
"S100A101",1.34298840485224e-71,0.540218400109634,0.672,0.574,3.5320595047614e-67,"5","S100A10"
"HOPX1",1.74012828287587e-70,0.562553454078865,0.218,0.105,4.57653738396354e-66,"5","HOPX"
"IL7R1",1.47756292808206e-69,0.533710796906135,0.67,0.56,3.88599050085582e-65,"5","IL7R"
"TUBA1B",1.12923306783631e-66,0.557992091687449,0.534,0.411,2.9698829684095e-62,"5","TUBA1B"
"IGHA2",3.49691048617098e-66,0.615013246136396,0.42,0.281,9.19687457862968e-62,"5","IGHA2"
"CITED2",6.41744341093794e-63,0.770886727846698,0.394,0.27,1.68778761707668e-58,"5","CITED2"
"CSRNP1",8.24837914313216e-60,0.583415067951689,0.308,0.19,2.16932371464376e-55,"5","CSRNP1"
"TAGLN2",2.74661493697497e-58,0.566014624414652,0.606,0.52,7.22359728424418e-54,"5","TAGLN2"
"ARL4A",8.55067776066635e-58,0.566337053046367,0.35,0.228,2.24882825105525e-53,"5","ARL4A"
"PHLDA11",3.16001024566988e-57,0.742492301505647,0.368,0.244,8.31082694611179e-53,"5","PHLDA1"
"PTGER2",9.38306472483315e-55,0.568487281428636,0.186,0.095,2.46774602263112e-50,"5","PTGER2"
"CRIP1",3.32975397174182e-54,0.580527574470202,0.436,0.319,8.75725294568097e-50,"5","CRIP1"
"EIF4A3",9.5086735418006e-54,0.603225173870339,0.298,0.188,2.50078114149356e-49,"5","EIF4A3"
"SELK",4.81933108969733e-51,0.510647720810783,0.637,0.548,1.2674840765904e-46,"5","SELK"
"JUND",1.40874257002557e-50,0.516691123064192,0.473,0.367,3.70499295916725e-46,"5","JUND"
"DUSP2",6.00264323329917e-49,0.735289078454945,0.477,0.369,1.57869517035768e-44,"5","DUSP2"
"HSPA5",1.39508343813633e-48,0.547256734705301,0.407,0.3,3.66906944229855e-44,"5","HSPA5"
"SDCBP",1.08895353585723e-47,0.61196371239661,0.429,0.328,2.86394779930451e-43,"5","SDCBP"
"JUNB",6.90308984785324e-42,0.526540279103272,0.875,0.829,1.8155126299854e-37,"5","JUNB"
"UBE2S",6.63870189089228e-41,0.533731094104043,0.2,0.118,1.74597859730467e-36,"5","UBE2S"
"CXCR3",1.20158497315216e-37,0.553621115660563,0.155,0.085,3.16016847939018e-33,"5","CXCR3"
"TNF",1.45002866963572e-35,0.536784802512214,0.108,0.052,3.81357540114193e-31,"5","TNF"
"BTG2",2.09369553549581e-26,0.662906115567598,0.451,0.387,5.50641925835399e-22,"5","BTG2"
"MT-RNR2",2.80649061487154e-11,0.606949462854344,0.361,0.317,7.38107031711215e-07,"5","MT-RNR2"
"FTH1",0,1.89293581639113,1,0.989,0,"6","FTH1"
"ANXA11",1.24258523013616e-81,0.705109377170825,0.769,0.537,3.26799915525809e-77,"6","ANXA1"
"ZFP361",1.02592093104772e-64,0.648304217588352,0.815,0.654,2.6981720486555e-60,"6","ZFP36"
"RGCC1",1.46535929066284e-64,0.963598309844446,0.681,0.497,3.85389493444328e-60,"6","RGCC"
"CREM",4.62477021838318e-55,0.64077364919829,0.768,0.598,1.21631456743478e-50,"6","CREM"
"SELK1",1.92770148752681e-51,0.665624605877343,0.696,0.55,5.0698549121955e-47,"6","SELK"
"YPEL51",1.5749046649381e-50,0.607491273846361,0.727,0.552,4.1419992687872e-46,"6","YPEL5"
"PABPC1",1.16825653470206e-45,0.548825720372811,0.89,0.851,3.07251468626643e-41,"6","PABPC1"
"AC009501.41",7.8458824840405e-36,0.643234601827298,0.182,0.081,2.06346709330265e-31,"6","AC009501.4"
"FAM177A1",9.92922039937363e-31,0.538936470250835,0.495,0.359,2.61138496503526e-26,"6","FAM177A1"
"CCL53",1.28309924186516e-30,0.626735473897609,0.468,0.321,3.37455100610537e-26,"6","CCL5"
"DUSP21",1.41640943877675e-24,0.661271377013264,0.493,0.375,3.72515682398286e-20,"6","DUSP2"
"TMEM661",3.21749644066828e-14,0.708712122381046,0.345,0.271,8.46201563895758e-10,"6","TMEM66"
"IL17A",0,3.83145741833414,0.428,0.012,0,"7","IL17A"
"CCL20",0,3.03834308555323,0.603,0.137,0,"7","CCL20"
"IL22",0,2.8238262133481,0.259,0.017,0,"7","IL22"
"IL4I11",8.6246237561939e-140,1.03171545819005,0.265,0.062,2.268276047879e-135,"7","IL4I1"
"CD691",1.37592082468553e-121,1.23251283829339,0.87,0.639,3.61867176892294e-117,"7","CD69"
"AC092580.42",2.40999302720705e-115,1.11971076853003,0.447,0.171,6.33828166155455e-111,"7","AC092580.4"
"ID23",1.41016744677979e-112,1.05199541688622,0.768,0.467,3.70874038503085e-108,"7","ID2"
"ANKRD281",2.13655723964478e-112,1.02634365996345,0.397,0.143,5.61914554026578e-108,"7","ANKRD28"
"IL26",5.29951925521635e-94,0.567583546490891,0.122,0.02,1.3937735641219e-89,"7","IL26"
"S100A42",8.98845609185575e-90,0.596055737305906,0.976,0.823,2.36396395215806e-85,"7","S100A4"
"CTSH",1.78824688446721e-79,0.727289183931218,0.245,0.078,4.70308930614875e-75,"7","CTSH"
"TMIGD21",1.51031706164794e-75,0.805509137726128,0.243,0.079,3.97213387213409e-71,"7","TMIGD2"
"TNFSF13B",1.41869221012519e-72,0.871861771517547,0.262,0.093,3.73116051262924e-68,"7","TNFSF13B"
"LGALS31",2.15456672213199e-62,0.77504689001955,0.505,0.278,5.66651047920714e-58,"7","LGALS3"
"KLRB11",8.11766385922018e-60,0.714973130861865,0.745,0.496,2.13494559497491e-55,"7","KLRB1"
"ZEB2",2.34205236324328e-59,0.623507580467495,0.177,0.054,6.15959771532983e-55,"7","ZEB2"
"JUN1",1.54962281135486e-55,0.722971541371262,0.801,0.641,4.07550799386329e-51,"7","JUN"
"RORA",3.47851853375925e-55,0.815355791900166,0.607,0.405,9.14850374378683e-51,"7","RORA"
"S100A61",3.55121715160941e-55,0.507995645589404,0.907,0.823,9.33970110873275e-51,"7","S100A6"
"CKLF1",8.42111624537416e-55,0.724603922082237,0.61,0.403,2.2147535725334e-50,"7","CKLF"
"KLF61",4.06783320697808e-54,0.713549498420539,0.844,0.715,1.06984013343524e-49,"7","KLF6"
"CD40LG",6.11079551310583e-53,0.782316723737902,0.312,0.141,1.60713921994683e-48,"7","CD40LG"
"ZFP36L1",7.83479898971889e-50,0.920122853059279,0.515,0.328,2.06055213429607e-45,"7","ZFP36L1"
"OSTF11",2.00356047791179e-48,0.726043048251207,0.469,0.287,5.26936405690802e-44,"7","OSTF1"
"CEBPD1",1.25546865407801e-45,0.645355622641719,0.153,0.05,3.30188256022516e-41,"7","CEBPD"
"ATF3",2.05926673490814e-45,0.858266056658221,0.181,0.067,5.41587151280842e-41,"7","ATF3"
"SPRY1",2.70027942366091e-43,0.72997541412346,0.171,0.062,7.1017348842282e-39,"7","SPRY1"
"AMICA11",1.03708607835555e-42,0.71087126129503,0.169,0.061,2.72753638607509e-38,"7","AMICA1"
"JAML1",2.8046873244058e-41,0.639393719944475,0.262,0.122,7.37632766318725e-37,"7","JAML"
"DNAJA11",6.74635166232714e-40,0.730702932190758,0.594,0.423,1.77429048719204e-35,"7","DNAJA1"
