"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD160",0,2.82969548613304,1,0.017,0,"0","CD160"
"HOPX",8.27393097594158e-134,1.00143071871344,0.646,0.295,2.17604384667264e-129,"0","HOPX"
"CD7",1.30880686409546e-101,0.799261291012605,0.846,0.613,3.44216205257107e-97,"0","CD7"
"KLRD1",7.9355215453975e-96,0.835516876028203,0.469,0.194,2.08704216643954e-91,"0","KLRD1"
"AC092580.4",9.32227549560839e-75,0.742477096551369,0.542,0.285,2.45175845534501e-70,"0","AC092580.4"
"XCL1",6.87709695506208e-70,1.0479826355397,0.389,0.176,1.80867649918133e-65,"0","XCL1"
"TMIGD2",1.27040402431335e-66,0.645163281110959,0.203,0.062,3.3411625839441e-62,"0","TMIGD2"
"ID2",1.58999619782076e-63,0.664194464956279,0.798,0.594,4.18169000026861e-59,"0","ID2"
"SPRY1",6.77706174305007e-61,0.735498542338927,0.253,0.094,1.78236723842217e-56,"0","SPRY1"
"PDE4A",3.90012622870996e-58,0.625586942397166,0.236,0.087,1.02573319815072e-53,"0","PDE4A"
"XCL2",1.09091333760966e-53,0.875902059299347,0.412,0.214,2.8691020779134e-49,"0","XCL2"
"IGHA1",4.48491712913101e-49,0.715850117034998,0.839,0.645,1.17953320496146e-44,"0","IGHA1"
"CAPG",5.91744087465705e-49,0.6679961613065,0.374,0.192,1.5562869500348e-44,"0","CAPG"
"KLRB1",1.47524507809949e-48,0.60691941590188,0.436,0.234,3.87989455540165e-44,"0","KLRB1"
"RHOC",9.4980509257328e-34,0.581425880805632,0.357,0.203,2.49798739346773e-29,"0","RHOC"
"CD63",3.31705748863366e-32,0.521638347425743,0.578,0.407,8.72386119510654e-28,"0","CD63"
"LDLRAD4",8.76926559525936e-32,0.625469501768589,0.312,0.175,2.30631685155321e-27,"0","LDLRAD4"
"IGHA2",1.77416533462067e-28,0.591520829549341,0.435,0.276,4.66605483005237e-24,"0","IGHA2"
"MT-RNR2",6.11597677032426e-28,0.540731214975132,0.394,0.246,1.60850189059528e-23,"0","MT-RNR2"
"MT-RNR1",2.87277344920564e-27,0.548554554764841,0.3,0.171,7.55539417141083e-23,"0","MT-RNR1"
"JCHAIN",1.59950818946736e-26,0.763593838768338,0.361,0.222,4.20670653829915e-22,"0","JCHAIN"
"RNA18S5",2.34997626058252e-20,0.570012149889748,0.192,0.102,6.18043756533204e-16,"0","RNA18S5"
"IGJ",2.31125005878592e-14,0.947349789601026,0.268,0.18,6.07858765460697e-10,"0","IGJ"
"IGLC2",1.11997654495477e-07,0.891514854918845,0.478,0.404,0.00294553831323103,"0","IGLC2"
"IGLC3",0.000477352904884546,0.620299356651146,0.322,0.268,1,"0","IGLC3"
"GZMH",0,1.83801785901501,0.825,0.272,0,"1","GZMH"
"CD8B",5.32535514691286e-252,1.1090253912624,0.955,0.433,1.40056840363808e-247,"1","CD8B"
"NKG7",2.35774985290856e-231,1.27055251735238,0.97,0.746,6.20088211314952e-227,"1","NKG7"
"HLA-DRA",3.57440289946231e-168,1.4630772882852,0.633,0.276,9.40067962558588e-164,"1","HLA-DRA"
"HLA-DRB1",4.76222093154074e-146,1.2341613823707,0.69,0.35,1.25246410499521e-141,"1","HLA-DRB1"
"GZMB",4.50035309185141e-145,1.52544595968415,0.68,0.332,1.18359286315692e-140,"1","GZMB"
"GZMK",1.42120749281031e-136,0.82347577323837,0.92,0.52,3.73777570609112e-132,"1","GZMK"
"HLA-DPB1",2.88183145537734e-134,1.10881501602378,0.724,0.399,7.57921672764241e-130,"1","HLA-DPB1"
"CD74",5.65734425328497e-133,1.04703059444427,0.89,0.684,1.48788153861395e-128,"1","CD74"
"HLA-DPA1",5.93222548452048e-125,1.12317422002682,0.666,0.364,1.56017530242889e-120,"1","HLA-DPA1"
"GZMA",2.42336124909257e-115,0.735756567165335,0.938,0.695,6.37344008511346e-111,"1","GZMA"
"CST7",2.21334873455301e-110,0.801311662275211,0.892,0.672,5.82110717187442e-106,"1","CST7"
"HLA-DQA1",1.61377126911798e-108,1.07913713166711,0.358,0.119,4.2442184377803e-104,"1","HLA-DQA1"
"IFNG",2.28873074287525e-95,1.25453742623953,0.527,0.25,6.01936185376191e-91,"1","IFNG"
"HLA-DRB5",5.55416502771106e-90,1.12203273552262,0.357,0.134,1.46074540228801e-85,"1","HLA-DRB5"
"HLA-DQB1",9.92651485398256e-74,0.869079595415404,0.387,0.171,2.61067340659741e-69,"1","HLA-DQB1"
"CCL3",1.1158364267907e-70,1.24070499398224,0.341,0.139,2.93464980245953e-66,"1","CCL3"
"CCL4",5.55484245522443e-70,0.813194402349727,0.852,0.591,1.46092356572403e-65,"1","CCL4"
"COTL1",3.10451515158819e-67,0.778770590920639,0.783,0.614,8.16487484867695e-63,"1","COTL1"
"PTMS",6.86559170517068e-66,0.769570931217577,0.343,0.146,1.80565061845989e-61,"1","PTMS"
"CD8A",1.36591211292767e-63,0.597685728571863,0.804,0.566,3.59234885699978e-59,"1","CD8A"
"LAG3",2.90123663516144e-58,0.770363076476098,0.471,0.254,7.6302523504746e-54,"1","LAG3"
"APOBEC3G",3.47749727750624e-58,0.658204648671202,0.512,0.283,9.14581783984141e-54,"1","APOBEC3G"
"DUSP4",2.57536252193317e-57,0.757609521437201,0.518,0.294,6.77320343268423e-53,"1","DUSP4"
"CCL4L2",1.80420589130246e-55,0.826351513808591,0.437,0.225,4.74506149412548e-51,"1","CCL4L2"
"SUB1",1.21952344535012e-54,0.565842973951624,0.794,0.62,3.20734666127082e-50,"1","SUB1"
"PRF1",7.31721393106202e-52,0.813310398469331,0.454,0.252,1.92442726386931e-47,"1","PRF1"
"SH2D1A",7.99949968129739e-52,0.63797867990293,0.416,0.214,2.10386841618121e-47,"1","SH2D1A"
"HLA-DMA",2.20192230731401e-51,0.635077948110682,0.319,0.144,5.79105566823585e-47,"1","HLA-DMA"
"FABP5",2.50564315718742e-50,0.756541407935744,0.378,0.192,6.58984150340291e-46,"1","FABP5"
"HLA-DQA2",4.67973007298512e-49,0.656988252679438,0.147,0.043,1.23076900919509e-44,"1","HLA-DQA2"
"OASL",6.98841345647282e-45,0.702452407294606,0.224,0.09,1.83795273905235e-40,"1","OASL"
"CMC1",1.56753905496517e-42,0.683888021976832,0.424,0.235,4.1226277145584e-38,"1","CMC1"
"LYST",1.05999040647073e-41,0.601314123708205,0.311,0.151,2.78777476901801e-37,"1","LYST"
"CD27",1.16120647050177e-39,0.608917577264153,0.481,0.293,3.05397301741966e-35,"1","CD27"
"PMAIP1",1.74256021666034e-39,0.848512519325718,0.369,0.206,4.58293336981668e-35,"1","PMAIP1"
"ITGB2",2.55543942704794e-39,0.565178974028092,0.516,0.325,6.72080569313608e-35,"1","ITGB2"
"CCL3L3",3.78112219390594e-39,0.689000716274608,0.256,0.116,9.94435136997262e-35,"1","CCL3L3"
"CLEC2B",6.84837496047094e-35,0.55003471423939,0.539,0.364,1.80112261460386e-30,"1","CLEC2B"
"ANXA5",2.62861623168956e-33,0.544390448574022,0.356,0.202,6.91326068934355e-29,"1","ANXA5"
"C12orf75",9.01955761179178e-32,0.546576041364646,0.405,0.246,2.37214365190124e-27,"1","C12orf75"
"LY6E",1.05741912414604e-31,0.538664220076383,0.588,0.439,2.78101229650408e-27,"1","LY6E"
"ITM2C",7.74226190326207e-30,0.613888770214759,0.532,0.385,2.03621488055792e-25,"1","ITM2C"
"APOBEC3C",3.2519645400346e-29,0.521955896121039,0.29,0.158,8.55266674029099e-25,"1","APOBEC3C"
"CTSC",2.84397679932071e-27,0.544078941323119,0.437,0.29,7.47965898221346e-23,"1","CTSC"
"TIGIT",4.00035744801476e-23,0.502706966445378,0.354,0.225,1.05209400882788e-18,"1","TIGIT"
"ITM2A",1.10997213993488e-21,0.506981709320289,0.52,0.392,2.91922672802874e-17,"1","ITM2A"
"MT2A",6.78757620327399e-21,0.541865946525335,0.403,0.275,1.78513254146106e-16,"1","MT2A"
"LGALS1",3.46332201015594e-20,0.604932778374314,0.529,0.416,9.10853688671012e-16,"1","LGALS1"
"ISG15",8.31365995560433e-20,0.791636747326066,0.488,0.366,2.18649256832394e-15,"1","ISG15"
"IFI6",2.76687992106305e-17,0.571680892088884,0.245,0.151,7.27689419239582e-13,"1","IFI6"
"HSPA1A",1.43728109532201e-08,0.652224882366812,0.296,0.224,0.000378004928069688,"1","HSPA1A"
"GZMK1",1.39080016912236e-131,0.860964662279394,0.938,0.521,3.6578044447918e-127,"2","GZMK"
"CCR7",3.27902685970709e-32,0.681576021890363,0.21,0.096,8.62384064102965e-28,"2","CCR7"
"GPR183",1.40539389146811e-24,0.572353396560522,0.456,0.314,3.69618593456114e-20,"2","GPR183"
"ARID5B",3.6656655454717e-24,0.584629203367374,0.298,0.177,9.64070038459058e-20,"2","ARID5B"
"ICOS",9.89939814986406e-17,0.607713561857123,0.207,0.122,2.60354171341425e-12,"2","ICOS"
"XCL11",0,1.85869761092623,0.795,0.153,0,"3","XCL1"
"XCL21",1.34383239759079e-205,1.54494292919698,0.656,0.203,3.53427920566379e-201,"3","XCL2"
"HOPX1",1.19047315110678e-67,0.76985580775819,0.615,0.309,3.13094438741083e-63,"3","HOPX"
"CD71",1.19505788746542e-67,0.68444422472711,0.869,0.619,3.14300224403406e-63,"3","CD7"
"SPRY11",2.03505879270381e-57,0.806138195534338,0.279,0.097,5.35220462481102e-53,"3","SPRY1"
"KLRD11",2.68776412458161e-47,0.753897182890889,0.426,0.207,7.06881964764964e-43,"3","KLRD1"
"SPINK2",4.56961868638179e-46,0.606361369451931,0.169,0.049,1.20180971451841e-41,"3","SPINK2"
"AC092580.41",5.21479506004318e-45,0.64459344844438,0.535,0.294,1.37149110079136e-40,"3","AC092580.4"
"CD8B1",1.59047020657454e-43,0.530347212144899,0.736,0.464,4.18293664329105e-39,"3","CD8B"
"PDE4A1",9.41229360784797e-40,0.593358926609482,0.237,0.092,2.47543321886402e-35,"3","PDE4A"
"TRGC2",1.54236313954341e-37,0.724393658233645,0.46,0.257,4.05641505699917e-33,"3","TRGC2"
"TMIGD21",2.16072044143503e-37,0.640434317122886,0.19,0.067,5.68269476097412e-33,"3","TMIGD2"
"CAPG1",1.14198514291503e-34,0.582484060351331,0.385,0.197,3.00342092586652e-30,"3","CAPG"
"ANKRD28",4.37005913974052e-33,0.680783040333719,0.294,0.14,1.14932555375176e-28,"3","ANKRD28"
