"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KLRC1",0,1.98227986837475,0.972,0.215,0,"0","KLRC1"
"KRT81",1.28215022324952e-91,1.17000226238476,0.445,0.118,3.37205508714624e-87,"0","KRT81"
"ADGRG3",6.71778905085924e-80,0.794055736791151,0.214,0.031,1.76677852037598e-75,"0","ADGRG3"
"TYROBP",1.68551805059981e-72,0.960591579595227,0.828,0.45,4.43291247307751e-68,"0","TYROBP"
"LINC00996",1.73440721960283e-57,0.764456006243622,0.255,0.06,4.56149098755543e-53,"0","LINC00996"
"FCER1G",2.2588640485291e-55,0.831573719960366,0.759,0.388,5.94081244763153e-51,"0","FCER1G"
"ZNF683",1.51572106724637e-53,0.966931973675276,0.232,0.054,3.98634640685795e-49,"0","ZNF683"
"CSF1",9.96591993493047e-47,0.754673459036825,0.186,0.04,2.62103694288671e-42,"0","CSF1"
"KRT86",2.1867449410299e-40,0.781369263728469,0.424,0.179,5.75113919490864e-36,"0","KRT86"
"HSPA6",2.88282781167549e-40,2.19995366673796,0.257,0.083,7.58183714470655e-36,"0","HSPA6"
"IGFBP2",3.03595633937306e-40,0.574485962788853,0.109,0.016,7.98456517255115e-36,"0","IGFBP2"
"TNFRSF18",6.18644588115248e-37,0.863995941003981,0.575,0.307,1.6270352667431e-32,"0","TNFRSF18"
"HSPA1A",2.73317275784991e-34,1.7561955617986,0.483,0.269,7.18824435314525e-30,"0","HSPA1A"
"AREG",1.25047683200138e-33,1.33735037622894,0.534,0.302,3.28875406816364e-29,"0","AREG"
"RGS16",6.81965521759073e-33,0.891126515379316,0.214,0.068,1.79356932222636e-28,"0","RGS16"
"GNLY",2.37729502552058e-32,1.14383323978804,0.705,0.513,6.25228591711912e-28,"0","GNLY"
"BAG3",1.06463276214168e-29,1.0722236212247,0.178,0.054,2.79998416443261e-25,"0","BAG3"
"HSPA1B",1.67099518634715e-29,1.55884885854643,0.39,0.201,4.39471734009301e-25,"0","HSPA1B"
"CCL3",3.79345024855322e-28,1.08796695040208,0.432,0.226,9.97677415369496e-24,"0","CCL3"
"KLRB1",3.14309057761669e-27,0.589478571709887,0.736,0.479,8.26632821913189e-23,"0","KLRB1"
"CD83",1.0660863475352e-26,0.817998320373988,0.276,0.116,2.80380709401757e-22,"0","CD83"
"RBPJ",3.06008273902965e-26,0.679040055699054,0.35,0.168,8.04801760364799e-22,"0","RBPJ"
"CARD19",5.30460239085052e-25,0.511401591447211,0.223,0.085,1.39511042879369e-20,"0","CARD19"
"SOX4",3.9649862447416e-24,0.617943588872988,0.132,0.037,1.04279138236704e-19,"0","SOX4"
"ITGB1",7.00373366136475e-24,0.506837228583257,0.387,0.196,1.84198195293893e-19,"0","ITGB1"
"HSPH1",1.25906774495827e-23,0.835698680842903,0.357,0.184,3.31134816924025e-19,"0","HSPH1"
"CTSD",3.41213757442119e-23,0.594073993700146,0.608,0.417,8.97392182072774e-19,"0","CTSD"
"HSPB1",3.61531858471881e-23,1.30057157854174,0.476,0.298,9.50828787781046e-19,"0","HSPB1"
"CDKN2C",7.19112935855846e-20,0.514051876977925,0.148,0.05,1.89126702130087e-15,"0","CDKN2C"
"FABP5",3.598316844335e-19,0.524217118654992,0.288,0.139,9.46357330060104e-15,"0","FABP5"
"SERPINH1",4.08306547224573e-19,0.688556827697499,0.135,0.045,1.07384621920063e-14,"0","SERPINH1"
"GZMK",4.66386195368318e-19,0.515300932211607,0.367,0.193,1.22659569381868e-14,"0","GZMK"
"HSPD1",5.15517144060959e-19,0.915639291903471,0.497,0.323,1.35581008888032e-14,"0","HSPD1"
"MATK",5.16778792344794e-19,0.527381883352599,0.482,0.298,1.35912822386681e-14,"0","MATK"
"XCL2",8.39054445281309e-18,0.729255214417323,0.52,0.35,2.20671319108984e-13,"0","XCL2"
"APOBEC3G",1.7796456508264e-17,0.548635192458557,0.492,0.314,4.68046806167343e-13,"0","APOBEC3G"
"ATF3",4.18312995576414e-17,0.571571949308878,0.225,0.104,1.10016317836597e-12,"0","ATF3"
"CACYBP",1.6403452048687e-16,0.918699292574154,0.424,0.277,4.31410788880467e-12,"0","CACYBP"
"FKBP4",2.77435194413528e-16,0.602986603404835,0.227,0.11,7.29654561307579e-12,"0","FKBP4"
"RHOB",6.39340648143289e-16,1.05276190692455,0.293,0.166,1.68146590461685e-11,"0","RHOB"
"XCL1",2.24352951450269e-15,0.771857444945732,0.459,0.302,5.90048262314209e-11,"0","XCL1"
"DNAJB1",4.00783236231049e-15,1.29401876608941,0.51,0.385,1.05405991128766e-10,"0","DNAJB1"
"DNAJA4",5.39234322729326e-15,0.676106402559253,0.13,0.049,1.41818626877813e-10,"0","DNAJA4"
"HSP90AA1",7.45920134125602e-15,1.1253302933413,0.831,0.773,1.96176995275033e-10,"0","HSP90AA1"
"HSPE1",1.496482324386e-14,0.597340005649535,0.659,0.521,3.93574851313518e-10,"0","HSPE1"
"ZFAND2A",1.7109575649221e-14,0.763385253355001,0.218,0.108,4.49981839574511e-10,"0","ZFAND2A"
"DUSP4",1.91310297069919e-13,0.690306002863713,0.415,0.275,5.03146081293888e-09,"0","DUSP4"
"DNAJA1",4.6244646546784e-12,0.601393760184273,0.594,0.456,1.21623420418042e-07,"0","DNAJA1"
"MRPL18",6.19497049311513e-12,0.629810296491325,0.295,0.179,1.62927723968928e-07,"0","MRPL18"
"IFITM3",1.05269363922428e-11,0.517456012435646,0.265,0.153,2.76858427115985e-07,"0","IFITM3"
"HSP90AB1",2.13726141477559e-11,0.553690049280468,0.743,0.639,5.6209975208598e-07,"0","HSP90AB1"
"NR4A1",4.0099719419474e-11,0.515765628485144,0.285,0.171,1.05462262073217e-06,"0","NR4A1"
"CTSW",1.25351926380909e-10,0.503685623101133,0.71,0.599,3.29675566381791e-06,"0","CTSW"
"IFNG",1.36001086012863e-10,0.596030018962797,0.295,0.184,3.5768285621383e-06,"0","IFNG"
"IGHG1",1.52152738879056e-10,0.85932799065538,0.2,0.107,4.00161703251918e-06,"0","IGHG1"
"DDIT4",9.1708431946041e-10,0.52014786906051,0.571,0.448,2.41193176018088e-05,"0","DDIT4"
"IGHG4",1.25961282099279e-08,0.563167575990739,0.255,0.157,0.000331278171921103,"0","IGHG4"
"IGHG3",1.76933906223924e-08,0.823958898021406,0.228,0.138,0.000465336173368921,"0","IGHG3"
"MYC",4.95079759426037e-08,0.546982717516775,0.128,0.065,0.00130205976729048,"0","MYC"
"RGS2",1.58319799164532e-06,0.595878348270734,0.51,0.421,0.0416381071802718,"0","RGS2"
"HSPA8",1.43260670899083e-05,0.525386376722328,0.796,0.751,0.376775564464587,"0","HSPA8"
"LGALS1",2.74133381364232e-05,0.519424923858631,0.541,0.47,0.72097079298793,"0","LGALS1"
"MT2A",3.26269739653075e-05,0.660512822067022,0.344,0.255,0.858089415287587,"0","MT2A"
"KLRF1",0,2.50608569498753,0.983,0.09,0,"1","KLRF1"
"FGFBP2",1.01290104652634e-209,2.25573810091893,0.594,0.081,2.66392975236427e-205,"1","FGFBP2"
"FCGR3A",2.63169457611169e-178,2.02786100801621,0.582,0.098,6.92135673517375e-174,"1","FCGR3A"
"NKG7",6.27115318220001e-108,1.36040974501321,0.993,0.808,1.6493132869186e-103,"1","NKG7"
"SPON2",1.82667584297696e-103,1.92906774196378,0.453,0.103,4.80415746702939e-99,"1","SPON2"
"GZMH",1.28752271131325e-94,1.55785748655968,0.708,0.255,3.38618473075385e-90,"1","GZMH"
"S1PR5",2.55094593037999e-90,1.09409095833272,0.275,0.038,6.70898779689938e-86,"1","S1PR5"
"PLAC8",1.68113123341219e-79,1.41414801088183,0.572,0.198,4.42137514387407e-75,"1","PLAC8"
"CST7",7.22920963268117e-71,1.16884254759277,0.9,0.662,1.90128213339515e-66,"1","CST7"
"PRF1",6.18934554420039e-69,1.52172362915978,0.783,0.479,1.6277978781247e-64,"1","PRF1"
"ITGB2",2.12577609935152e-58,1.23057931885013,0.564,0.233,5.59079114129449e-54,"1","ITGB2"
"TMSB10",8.59190755235822e-58,0.766012397361841,0.995,0.97,2.25967168627021e-53,"1","TMSB10"
"CX3CR1",8.10273824178414e-55,0.670243648395352,0.127,0.012,2.13102015758923e-50,"1","CX3CR1"
"SORL1",6.61937346976748e-54,1.0037170924327,0.246,0.051,1.74089522254885e-49,"1","SORL1"
"CMC1",3.8237775493677e-52,1.29651848404351,0.53,0.213,1.0056534954837e-47,"1","CMC1"
"GNLY1",6.17007868801338e-50,0.776625989567012,0.864,0.506,1.62273069494752e-45,"1","GNLY"
"GZMB",8.52140255906493e-50,0.960831998861724,0.859,0.609,2.24112887303408e-45,"1","GZMB"
"CCL4",1.17757037622241e-43,1.16989014368645,0.766,0.469,3.09701008946495e-39,"1","CCL4"
"NEAT1",1.13637360163406e-41,1.01801312675431,0.788,0.557,2.98866257229759e-37,"1","NEAT1"
"AKR1C3",1.8741347558034e-40,0.625137070152078,0.134,0.02,4.92897440776293e-36,"1","AKR1C3"
"KLF2",5.92901514547455e-40,0.999001463438202,0.345,0.117,1.55933098325981e-35,"1","KLF2"
"SLC15A4",1.47945277166402e-37,0.705151118271015,0.165,0.033,3.89096078947637e-33,"1","SLC15A4"
"EFHD2",2.37305262377147e-37,0.964733112180264,0.343,0.126,6.24112840051897e-33,"1","EFHD2"
"KLRD1",9.38130837801772e-37,0.895466967904567,0.8,0.566,2.46728410341866e-32,"1","KLRD1"
"LAIR2",1.27410735115762e-36,0.864230871368213,0.139,0.024,3.35090233354455e-32,"1","LAIR2"
"GTF3C1",8.85918576481315e-36,0.781983347383597,0.19,0.044,2.32996585614586e-31,"1","GTF3C1"
"C1orf21",5.19434348570964e-32,0.712199943105585,0.248,0.076,1.36611233674163e-27,"1","C1orf21"
"C12orf75",9.06433188977305e-31,0.855478520731493,0.45,0.218,2.38391928701031e-26,"1","C12orf75"
"IGFBP7",1.38961016223083e-28,0.801160180907483,0.243,0.082,3.65467472666707e-24,"1","IGFBP7"
"GK5",2.12938014616818e-28,0.564943340379761,0.136,0.029,5.6002697844223e-24,"1","GK5"
"S100A4",1.38840890563469e-27,0.66406690213566,0.822,0.629,3.65151542181923e-23,"1","S100A4"
"PTGDS",6.34905266511853e-27,1.67054480309375,0.112,0.022,1.66980085092617e-22,"1","PTGDS"
"HLA-E",1.02901534263126e-26,0.59784962227663,0.912,0.834,2.70631035112022e-22,"1","HLA-E"
"SYNE2",1.03883188093031e-26,0.821494843701066,0.363,0.165,2.73212784684671e-22,"1","SYNE2"
"ARL4C",3.47655571049905e-26,0.851901697064083,0.46,0.246,9.1433415186125e-22,"1","ARL4C"
"CCL31",5.66975652002426e-26,1.13261230719356,0.453,0.231,1.49114596476638e-21,"1","CCL3"
"PRSS23",2.62667667234824e-25,0.558152309998382,0.127,0.028,6.90815964827588e-21,"1","PRSS23"
"LINC00861",8.04446455341314e-25,0.577724957975244,0.141,0.034,2.11569417754766e-20,"1","LINC00861"
"TGFBR3",1.63054335007897e-24,0.514182828433633,0.124,0.028,4.28832901070768e-20,"1","TGFBR3"
"PLEK",8.35077674786795e-24,0.705802505648746,0.202,0.066,2.19625428468927e-19,"1","PLEK"
"S100A6",9.93606907076822e-24,0.590980709357888,0.842,0.711,2.61318616561204e-19,"1","S100A6"
"TYROBP1",9.00038505937704e-22,0.548258491137399,0.718,0.472,2.36710127061616e-17,"1","TYROBP"
"TTC38",2.24841836580214e-21,0.70410305062289,0.2,0.071,5.91334030205962e-17,"1","TTC38"
"MT2A1",2.55534621301204e-21,0.886703918290745,0.436,0.25,6.72056054022166e-17,"1","MT2A"
"BPGM",4.56801760272842e-21,0.727792209417674,0.182,0.061,1.20138862951757e-16,"1","BPGM"
"EMP3",5.80134267161339e-21,0.700801512768572,0.533,0.328,1.52575312263432e-16,"1","EMP3"
"KIR2DL3",2.66312730276403e-20,0.536353462009013,0.127,0.033,7.00402480626941e-16,"1","KIR2DL3"
"ZEB2",1.53655930198808e-19,0.735510757958864,0.404,0.221,4.04115096422865e-15,"1","ZEB2"
"RAB29",2.09945630643162e-19,0.65079405216197,0.187,0.067,5.52157008591515e-15,"1","RAB29"
"CCL4L2",4.04712349874812e-19,1.71159934997385,0.309,0.15,1.06439348017076e-14,"1","CCL4L2"
"IFITM2",9.07895710981852e-19,0.518970577638101,0.849,0.694,2.38776571988227e-14,"1","IFITM2"
"ADGRG1",2.00425435127625e-18,0.622667371578663,0.17,0.061,5.27118894385654e-14,"1","ADGRG1"
"ADD3",9.91892660667598e-18,0.612506031004551,0.197,0.077,2.60867769755578e-13,"1","ADD3"
"IER3",1.70206497183703e-17,0.610985802859414,0.238,0.104,4.47643087593138e-13,"1","IER3"
"GZMM",4.18730664431911e-17,0.639980015588614,0.518,0.342,1.10126164745593e-12,"1","GZMM"
"CD300A",4.26280994026174e-17,0.5517284901952,0.197,0.077,1.12111901428884e-12,"1","CD300A"
"DSTN",8.2283767823004e-17,0.710384574486499,0.387,0.229,2.164063093745e-12,"1","DSTN"
"KLF3",8.72541331940825e-17,0.551496245098227,0.129,0.04,2.29478370300437e-12,"1","KLF3"
"LPCAT1",9.48355837016296e-17,0.545206182861309,0.165,0.06,2.49417585135286e-12,"1","LPCAT1"
"MYO1F",1.42528896900655e-16,0.793639120939791,0.365,0.21,3.74850998848722e-12,"1","MYO1F"
"MBP",1.49204654701356e-16,0.665979591346277,0.345,0.191,3.92408241864566e-12,"1","MBP"
"UPP1",1.52964205332896e-16,0.624204800795947,0.29,0.145,4.02295860025515e-12,"1","UPP1"
"PYHIN1",2.50695605031828e-16,0.725462365147972,0.285,0.141,6.59329441233709e-12,"1","PYHIN1"
"P2RY8",5.70613435356955e-16,0.521233675271972,0.131,0.043,1.50071333498879e-11,"1","P2RY8"
"CD247",5.8099843510161e-16,0.613841588287328,0.635,0.481,1.52802588431724e-11,"1","CD247"
"GNG2",7.59687968184146e-16,0.727482206285556,0.443,0.282,1.9979793563243e-11,"1","GNG2"
"FAM65B",1.21890748321175e-15,0.607300688836389,0.18,0.071,3.20572668084692e-11,"1","FAM65B"
"ICAM2",2.88028435378887e-15,0.508233909421637,0.207,0.088,7.57514785046473e-11,"1","ICAM2"
"PTPRE",5.62031413091336e-14,0.540822803107029,0.18,0.076,1.47814261643021e-09,"1","PTPRE"
"IER2",2.12977198868223e-13,0.5687279668096,0.669,0.552,5.60130033023427e-09,"1","IER2"
"HLA-DPB1",2.63407756569716e-13,0.659763625159635,0.448,0.309,6.92762399778353e-09,"1","HLA-DPB1"
"IRF1",3.55863957624666e-13,0.569952728379395,0.555,0.41,9.35922208552872e-09,"1","IRF1"
"FLNA",6.54478094951714e-13,0.568301040177279,0.355,0.218,1.72127738972301e-08,"1","FLNA"
"BTN3A2",6.81681732024665e-13,0.538421066096989,0.326,0.187,1.79282295522487e-08,"1","BTN3A2"
"UBE2F",7.9437358919837e-13,0.50593082049982,0.251,0.129,2.08920253959171e-08,"1","UBE2F"
"AKNA",8.52711468937337e-13,0.701742231870569,0.406,0.274,2.2426311633052e-08,"1","AKNA"
"RP5-1171I10.5",1.35117769362709e-12,0.667155094504824,0.226,0.115,3.55359733423924e-08,"1","RP5-1171I10.5"
"ATM",1.76189829713795e-12,0.534962762241543,0.207,0.099,4.63379252147282e-08,"1","ATM"
"CHMP1B",4.26294739184091e-12,0.781624017485416,0.406,0.277,1.12115516405416e-07,"1","CHMP1B"
"UTRN",6.50752135809704e-12,0.512225455428371,0.185,0.086,1.71147811717952e-07,"1","UTRN"
"PPP2R5C",8.73968222065321e-12,0.579239706843061,0.547,0.415,2.29853642403179e-07,"1","PPP2R5C"
"MIAT",3.54437823304997e-11,0.609831757999415,0.19,0.092,9.32171475292143e-07,"1","MIAT"
"SLA",3.85599903542143e-11,0.63847090856725,0.355,0.227,1.01412774631584e-06,"1","SLA"
"SELPLG",4.52856896409132e-11,0.534478729058233,0.217,0.113,1.19101363755602e-06,"1","SELPLG"
"ADGRE5",4.7536463677074e-10,0.548084806572707,0.401,0.276,1.25020899470705e-05,"1","ADGRE5"
"KLRG1",7.78345548234397e-09,0.550967824357023,0.165,0.084,0.000204704879185646,"1","KLRG1"
"MAP2K3",1.34792809909862e-08,0.500009110613836,0.251,0.154,0.000354505090062938,"1","MAP2K3"
"SPN",3.86552106982953e-07,0.52683718723312,0.294,0.208,0.0101663204136517,"1","SPN"
"RNF213",1.6443385369395e-06,0.527884495292205,0.331,0.249,0.0432461035215088,"1","RNF213"
"HAVCR2",3.26157268609852e-06,0.507990987286694,0.229,0.155,0.085779361644391,"1","HAVCR2"
"CCL3L3",6.4341521759504e-06,0.59053786261909,0.17,0.102,0.169218202227496,"1","CCL3L3"
"KLRC2",7.9433470711485e-200,1.6365621896136,0.978,0.268,2.08910027971206e-195,"2","KLRC2"
"TRGC1",1.92372803933065e-173,1.54094856656106,0.973,0.297,5.05940474343962e-169,"2","TRGC1"
"TIGIT",1.17268263779928e-51,1.13484282857658,0.595,0.258,3.08415533741212e-47,"2","TIGIT"
"CCL5",1.26081251628302e-43,0.572704101860403,1,0.915,3.31593691782433e-39,"2","CCL5"
"CD3D",3.02752075794263e-43,0.742612112245574,0.926,0.552,7.9623795933891e-39,"2","CD3D"
"SAMSN1",2.79824438010164e-31,0.833491453288522,0.667,0.409,7.35938271966731e-27,"2","SAMSN1"
"LDLRAD4",5.78115162149532e-30,0.737663844140177,0.6,0.321,1.52044287645327e-25,"2","LDLRAD4"
"TRDC",7.67397258398664e-29,0.66428782836629,0.847,0.617,2.01825478958849e-24,"2","TRDC"
"IL32",1.44106337343441e-28,0.553645005488785,0.973,0.785,3.78999667213249e-24,"2","IL32"
"RGS1",1.28886542975736e-27,0.636893817020551,0.881,0.674,3.38971608026185e-23,"2","RGS1"
"SIRPG",1.74642197916049e-26,0.635280006728975,0.338,0.137,4.59308980519209e-22,"2","SIRPG"
"CD63",1.37867527483846e-24,0.577667290235435,0.896,0.707,3.62591597282515e-20,"2","CD63"
"CD3E",6.01395696153427e-24,0.541335538420487,0.827,0.567,1.58167068088351e-19,"2","CD3E"
"CD96",1.74647030740745e-22,0.582365215059776,0.649,0.415,4.59321690848159e-18,"2","CD96"
"JAML",3.40129023792698e-22,0.667038141376621,0.294,0.125,8.94539332574797e-18,"2","JAML"
"CD3G",1.32816037081654e-21,0.55551697271215,0.553,0.308,3.49306177524751e-17,"2","CD3G"
"FABP1",1.50435373438914e-21,0.691214248679412,0.333,0.151,3.95645032144344e-17,"2","FABP1"
"PHGR1",2.07606509669051e-21,0.776294167734385,0.412,0.208,5.46005120429605e-17,"2","PHGR1"
"LAYN",3.49636591931098e-21,0.600228232211374,0.286,0.12,9.19544236778787e-17,"2","LAYN"
"MLF1",9.26573616314517e-21,0.519406478146628,0.156,0.046,2.43688861090718e-16,"2","MLF1"
"AC009501.4",1.56481511316604e-20,0.569276693574917,0.262,0.103,4.11546374762669e-16,"2","AC009501.4"
"ASB2",1.98370812505196e-20,0.545739385384044,0.242,0.094,5.21715236888665e-16,"2","ASB2"
"RNA18S5",8.98966638747422e-20,0.874986255322113,0.326,0.151,2.36428225990572e-15,"2","RNA18S5"
"ID3",1.32322226981908e-19,0.588574140965723,0.415,0.218,3.48007456962419e-15,"2","ID3"
"HES4",4.15615983224293e-19,0.61436190499135,0.257,0.107,1.09307003587989e-14,"2","HES4"
"ENTPD1",1.00965949425453e-18,0.577171290598301,0.378,0.19,2.65540446988941e-14,"2","ENTPD1"
"JCHAIN",7.66102819020546e-18,0.620665341573545,0.427,0.238,2.01485041402404e-13,"2","JCHAIN"
"TNFRSF9",1.88495253403839e-17,0.691794224809798,0.232,0.096,4.95742516452095e-13,"2","TNFRSF9"
"KIR2DL4",1.00516380781974e-16,0.644884057670841,0.373,0.202,2.64358081456593e-12,"2","KIR2DL4"
"MTRNR2L1",2.85748701357718e-15,0.862887716775478,0.131,0.044,7.51519084570799e-11,"2","MTRNR2L1"
"CLEC2D",5.16290285015403e-15,0.575002293715236,0.494,0.306,1.35784344959051e-10,"2","CLEC2D"
"PLPP1",4.24106960698157e-11,0.577551911732367,0.178,0.083,1.11540130663615e-06,"2","PLPP1"
"CREM",5.75411128662332e-11,0.576322277935682,0.672,0.562,1.51333126838193e-06,"2","CREM"
"PTPRCAP",5.92466648168976e-11,0.579462266953529,0.341,0.201,1.55818728468441e-06,"2","PTPRCAP"
"GZMA",1.45406649178256e-05,0.801645570800696,0.723,0.705,0.382419487338814,"2","GZMA"
"KLRF11",0,2.43527531938022,0.993,0.091,0,"3","KLRF1"
"CMC11",1.24987968863513e-132,2.08593918760914,0.699,0.199,3.2871835811104e-128,"3","CMC1"
"TYROBP2",3.29236131386278e-98,1.30982905586467,0.923,0.455,8.65891025545911e-94,"3","TYROBP"
"KLRC11",8.73691303212208e-95,1.34394610396831,0.736,0.26,2.29780812744811e-90,"3","KLRC1"
"FCER1G1",1.36209786391172e-84,1.14897567264599,0.876,0.392,3.58231738208782e-80,"3","FCER1G"
"SPTSSB",2.78471859244948e-74,0.693522215293153,0.124,0.007,7.32380989814213e-70,"3","SPTSSB"
"IFITM21",3.33570599933861e-67,1.08253404535021,0.925,0.688,8.77290677826055e-63,"3","IFITM2"
"GZMK1",6.82049438106349e-54,1.1068903589283,0.52,0.187,1.7937900222197e-49,"3","GZMK"
"KLRD11",2.19091384741565e-53,1.06426943896539,0.841,0.563,5.76210341870315e-49,"3","KLRD1"
"NKG71",5.62330338571428e-53,0.828062933992882,0.988,0.809,1.47892879044286e-48,"3","NKG7"
"XCL11",2.72970889016749e-50,1.03117719010933,0.649,0.292,7.17913438114049e-46,"3","XCL1"
"IFITM31",4.91228661214135e-49,1.0135145327901,0.423,0.144,1.29193137899318e-44,"3","IFITM3"
"XCL21",9.60304989201414e-49,1.19026192265957,0.677,0.343,2.52560212159972e-44,"3","XCL2"
"C1orf162",2.70972594043678e-45,0.837364803573524,0.271,0.067,7.12657922334874e-41,"3","C1orf162"
"SELL",4.12661963967236e-42,0.94222892394599,0.216,0.048,1.08530096523383e-37,"3","SELL"
"KLRB11",1.82776729979831e-41,0.844431614907448,0.813,0.481,4.80702799846955e-37,"3","KLRB1"
"AREG1",1.63094555416314e-38,1.46422094422015,0.572,0.307,4.28938680744906e-34,"3","AREG"
"LINC009961",4.38011047008883e-38,0.851243443045898,0.249,0.067,1.15196905363336e-33,"3","LINC00996"
"CCL32",8.03690735464585e-37,1.53368825892737,0.5,0.228,2.11370663427186e-32,"3","CCL3"
"NFKBIA",1.21257632855526e-34,1.16189472648758,0.726,0.532,3.18907574410033e-30,"3","NFKBIA"
"ITGB21",1.97088456699484e-34,0.722261040521132,0.527,0.237,5.18342641119643e-30,"3","ITGB2"
"PLAC81",2.68986847834091e-33,0.916800194693676,0.465,0.207,7.07435409803658e-29,"3","PLAC8"
"FGR",1.09233291143886e-32,0.718670840828912,0.219,0.06,2.87283555708419e-28,"3","FGR"
"CD300A1",3.29622767573888e-31,0.681392353813234,0.244,0.073,8.66907878719326e-27,"3","CD300A"
"TXK",4.26571545528603e-29,0.831690058479281,0.343,0.14,1.12188316474023e-24,"3","TXK"
"IL2RB",6.15632128856388e-28,0.815320369078684,0.637,0.395,1.6191124988923e-23,"3","IL2RB"
"CCL41",7.00202748341797e-28,0.938483381810558,0.704,0.475,1.84153322813893e-23,"3","CCL4"
"MATK1",4.78981914300064e-26,0.766309017261027,0.535,0.3,1.25972243460917e-21,"3","MATK"
"GNLY2",8.62041026376791e-25,0.777552189306589,0.736,0.517,2.26716789937096e-20,"3","GNLY"
"PTGDR",5.04865408242458e-24,0.581588708191712,0.197,0.061,1.32779602367767e-19,"3","PTGDR"
"SH2D1A",1.79625738308596e-23,0.638905344848097,0.289,0.115,4.72415691751607e-19,"3","SH2D1A"
"GPR183",6.41669408564278e-22,0.77597508246776,0.281,0.117,1.68759054452405e-17,"3","GPR183"
"IER21",1.13111963160758e-21,0.849430087822445,0.719,0.548,2.97484463112793e-17,"3","IER2"
"MAFF",2.6418702774153e-21,0.806659087675484,0.366,0.18,6.94811882960224e-17,"3","MAFF"
"ADGRG31",1.13087781774221e-20,0.606504933313132,0.147,0.042,2.97420866066202e-16,"3","ADGRG3"
"EOMES",9.65579557692741e-20,0.653241154092232,0.149,0.045,2.53947423673191e-15,"3","EOMES"
"FOS",4.05156447285543e-19,0.633617883927348,0.861,0.768,1.06556145636098e-14,"3","FOS"
"TXNIP",4.08042603272114e-19,0.969621719721169,0.57,0.39,1.07315204660566e-14,"3","TXNIP"
"EIF3G",8.77232303988211e-19,0.769628080279885,0.6,0.418,2.307120959489e-14,"3","EIF3G"
"PRF11",2.47877550119773e-18,0.615543380945996,0.684,0.488,6.51917956815003e-14,"3","PRF1"
